date,minutes,points,field_goals_made,field_goals_attempts,field_goals_pct,two_points_made,two_points_attempts,two_points_pct,three_points_made,three_points_attempts,three_points_pct,free_throws_made,free_throws_attempts,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,efficiency,opponent,win,competition,group,phase,home
28-Aug-23,200,89,29,60,48.3,14,30,46.7,15,30,50,16,24,66.7,10,24,34,17,4,3,5,20,20,98,China,TRUE,Fiba Basketballworldcup 2023 ,Group B,First Round,FALSE
29-Aug-21,200,88,29,73,39.7,23,46,50,6,27,22.2,24,32,75,17,27,44,17,10,5,9,23,2,104,Uganda,TRUE,Fiba Afrobasket 2021 ,Group D,Group Phase,TRUE
29-Nov-20,200,67,19,59,32.2,13,42,31,6,17,35.3,23,32,71.9,17,34,51,9,6,6,16,12,12,69,Rwanda,TRUE,Fiba Afrobasket 2021 Qualifiers,Group D,Group Phase,FALSE
02-Jul-22,200,75,24,60,40,11,28,39.3,13,32,40.6,14,18,77.8,9,36,45,19,3,3,12,20,14,84,Tunisia,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group B,1st Round,TRUE
02-Sep-21,200,65,25,67,37.3,14,36,38.9,11,31,35.5,4,7,57.1,10,26,36,18,5,2,17,19,-15,60,Tunisia,FALSE,Fiba Afrobasket 2021 ,,Quarter-Finals,FALSE
02-Sep-23,200,101,33,61,54.1,24,38,63.2,9,23,39.1,26,33,78.8,10,31,41,26,5,9,11,26,23,131,Angola,TRUE,Fiba Basketballworldcup 2023 ,Group M,Classification Round 17-32,FALSE
30-Aug-23,200,83,30,65,46.2,17,32,53.1,13,33,39.4,10,16,62.5,8,17,25,22,7,2,13,22,-32,82,Serbia,FALSE,Fiba Basketballworldcup 2023 ,Group B,First Round,TRUE
31-Aug-21,200,60,19,73,26,13,32,40.6,6,41,14.6,16,22,72.7,18,29,47,18,10,4,14,11,2,59,Kenya,TRUE,Fiba Afrobasket 2021 ,,Qualif. to 1/4,TRUE
31-Aug-23,200,87,31,76,40.8,19,43,44.2,12,33,36.4,13,15,86.7,11,35,46,25,7,4,9,14,19,112,Philippines,TRUE,Fiba Basketballworldcup 2023 ,Group M,Classification Round 17-32,TRUE
03-Jul-22,200,67,18,53,34,8,21,38.1,10,32,31.2,21,31,67.7,9,31,40,14,7,5,13,22,11,71,Cameroon,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group B,1st Round,FALSE
