date,jersey_number,players,minutes,points,field_goals_made,field_goals_attempts,field_goals_pct,two_points_made,two_points_attempts,two_points_pct,three_points_made,three_points_attempts,three_points_pct,free_throws_made,free_throws_attempts,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,plus_minus,efficiency,opponent,win,competition,group,phase,home
17-Mar-17,40,Riak Bol Bol,15,2,1,3,33.3,1,3,33.3,0,0,0,0,0,0,0,2,2,1,0,0,0,2,-4,3,Kenya,TRUE,Fiba Afrobasketqualifiers 2017 ,,Zone 5 - Classification,FALSE
18-Feb-21,0,Teny Bak Puot,22,3,1,6,16.7,0,1,0,1,5,20,0,0,0,0,4,4,1,0,0,3,1,3,0,Mali,TRUE,Fiba Afrobasket 2021 Qualifiers,Group D,Group Phase,FALSE
18-Feb-21,1,Nuni Omot,37,16,6,11,54.5,5,10,50,1,1,100,3,4,75,1,2,3,1,0,0,3,3,6,11,Mali,TRUE,Fiba Afrobasket 2021 Qualifiers,Group D,Group Phase,FALSE
18-Feb-21,2,Nyang Wek,16,0,0,3,0,0,3,0,0,0,0,0,0,0,1,7,8,0,1,1,2,5,8,5,Mali,TRUE,Fiba Afrobasket 2021 Qualifiers,Group D,Group Phase,FALSE
18-Feb-21,5,Dut Jok Kacuol,26,14,4,13,30.8,0,3,0,4,10,40,2,3,66.7,0,2,2,0,2,1,2,3,-6,7,Mali,TRUE,Fiba Afrobasket 2021 Qualifiers,Group D,Group Phase,FALSE
18-Feb-21,6,Deng Acuoth,21,3,1,5,20,1,5,20,0,0,0,1,2,50,0,6,6,2,1,2,0,1,0,9,Mali,TRUE,Fiba Afrobasket 2021 Qualifiers,Group D,Group Phase,FALSE
18-Feb-21,8,Kuany Ngor Kuany,34,21,7,13,53.8,6,10,60,1,3,33.3,6,8,75,2,2,4,4,2,0,1,1,11,22,Mali,TRUE,Fiba Afrobasket 2021 Qualifiers,Group D,Group Phase,FALSE
18-Feb-21,9,Mathiang Mauot Muo,12,3,1,4,25,0,0,0,1,4,25,0,0,0,2,1,3,1,0,0,1,2,-1,3,Mali,TRUE,Fiba Afrobasket 2021 Qualifiers,Group D,Group Phase,FALSE
18-Feb-21,11,Emmanuel Malou,27,9,2,6,33.3,1,3,33.3,1,3,33.3,4,4,100,2,3,5,0,0,0,0,1,5,10,Mali,TRUE,Fiba Afrobasket 2021 Qualifiers,Group D,Group Phase,FALSE
18-Feb-21,12,Deng Makuac Riak,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7,0,Mali,TRUE,Fiba Afrobasket 2021 Qualifiers,Group D,Group Phase,FALSE
18-Feb-21,14,Deng Mayot Mabior,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,Mali,TRUE,Fiba Afrobasket 2021 Qualifiers,Group D,Group Phase,FALSE
18-Jan-20,1,Teny Bak Puot,35,13,4,15,26.7,1,7,14.3,3,8,37.5,2,6,33.3,0,2,2,1,1,0,0,3,3,2,Kenya,FALSE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,Group D,TRUE
18-Jan-20,3,Bol Bak,25,9,3,10,30,1,5,20,2,5,40,1,2,50,0,2,2,1,0,0,4,0,-1,0,Kenya,FALSE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,Group D,TRUE
18-Jan-20,8,Kuany Ngor Kuany,35,8,3,8,37.5,2,6,33.3,1,2,50,1,4,25,4,7,11,3,0,0,4,5,-9,10,Kenya,FALSE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,Group D,TRUE
18-Jan-20,9,Mathiang Mauot Muo,27,8,2,10,20,2,5,40,0,5,0,4,5,80,1,4,5,2,0,0,0,3,-11,6,Kenya,FALSE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,Group D,TRUE
18-Jan-20,10,Makuei Puondak,28,16,5,9,55.6,5,8,62.5,0,1,0,6,12,50,6,0,6,0,0,0,3,1,-1,9,Kenya,FALSE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,Group D,TRUE
18-Jan-20,11,Emmanuel Malou,32,9,2,7,28.6,1,2,50,1,5,20,4,4,100,2,6,8,2,0,1,1,1,11,14,Kenya,FALSE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,Group D,TRUE
18-Jan-20,13,Akoy Magut Agau,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,-13,-2,Kenya,FALSE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,Group D,TRUE
18-Jan-20,14,Deng Mayot Mabior,18,5,2,3,66.7,1,1,100,1,2,50,0,2,0,0,5,5,0,0,1,2,3,-9,6,Kenya,FALSE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,Group D,TRUE
19-Feb-21,0,Teny Bak Puot,26,7,1,3,33.3,1,2,50,0,1,0,5,5,100,0,2,2,1,2,0,2,1,-5,8,Rwanda,FALSE,Fiba Afrobasket 2021 Qualifiers,Group D,Group Phase,TRUE
19-Feb-21,1,Nuni Omot,4,2,1,2,50,1,2,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,Rwanda,FALSE,Fiba Afrobasket 2021 Qualifiers,Group D,Group Phase,TRUE
19-Feb-21,2,Nyang Wek,33,7,3,3,100,3,3,100,0,0,0,1,2,50,0,8,8,0,3,1,4,2,-1,14,Rwanda,FALSE,Fiba Afrobasket 2021 Qualifiers,Group D,Group Phase,TRUE
19-Feb-21,3,Bol Bak,12,3,1,2,50,0,1,0,1,1,100,0,0,0,0,2,2,2,0,0,3,0,4,3,Rwanda,FALSE,Fiba Afrobasket 2021 Qualifiers,Group D,Group Phase,TRUE
19-Feb-21,6,Deng Acuoth,23,3,1,4,25,1,4,25,0,0,0,1,2,50,3,5,8,1,0,0,2,1,-6,6,Rwanda,FALSE,Fiba Afrobasket 2021 Qualifiers,Group D,Group Phase,TRUE
19-Feb-21,7,Aluk Lual Adub,12,4,2,5,40,2,4,50,0,1,0,0,0,0,0,4,4,0,2,0,2,1,2,5,Rwanda,FALSE,Fiba Afrobasket 2021 Qualifiers,Group D,Group Phase,TRUE
19-Feb-21,8,Kuany Ngor Kuany,36,13,4,10,40,3,6,50,1,4,25,4,5,80,0,3,3,4,2,0,7,1,-6,8,Rwanda,FALSE,Fiba Afrobasket 2021 Qualifiers,Group D,Group Phase,TRUE
19-Feb-21,9,Mathiang Mauot Muo,28,9,3,14,21.4,0,2,0,3,12,25,0,0,0,2,1,3,1,0,0,2,1,1,0,Rwanda,FALSE,Fiba Afrobasket 2021 Qualifiers,Group D,Group Phase,TRUE
19-Feb-21,11,Emmanuel Malou,23,10,4,8,50,3,5,60,1,3,33.3,1,2,50,1,2,3,0,0,0,5,1,-8,3,Rwanda,FALSE,Fiba Afrobasket 2021 Qualifiers,Group D,Group Phase,TRUE
19-Feb-21,12,Deng Makuac Riak,17,0,0,4,0,0,3,0,0,1,0,0,0,0,1,6,7,0,1,0,1,0,-4,3,Rwanda,FALSE,Fiba Afrobasket 2021 Qualifiers,Group D,Group Phase,TRUE
19-Feb-21,14,Deng Mayot Mabior,16,0,0,2,0,0,1,0,0,1,0,0,0,0,0,2,2,0,0,1,2,2,0,-1,Rwanda,FALSE,Fiba Afrobasket 2021 Qualifiers,Group D,Group Phase,TRUE
01-Jul-22,1,Nuni Omot,24,13,4,15,26.7,1,9,11.1,3,6,50,2,2,100,1,4,5,1,0,0,2,4,6,6,Rwanda,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group B,1st Round,FALSE
01-Jul-22,4,Mareng Gatkuoth,6,0,0,4,0,0,1,0,0,3,0,0,2,0,0,1,1,1,0,0,1,2,0,-5,Rwanda,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group B,1st Round,FALSE
01-Jul-22,7,Bul Kuol,28,16,5,12,41.7,0,0,0,5,12,41.7,1,2,50,3,2,5,0,0,1,0,4,7,14,Rwanda,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group B,1st Round,FALSE
01-Jul-22,8,Kuany Ngor Kuany,32,15,5,9,55.6,2,3,66.7,3,6,50,2,3,66.7,2,2,4,2,0,0,3,2,10,13,Rwanda,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group B,1st Round,FALSE
01-Jul-22,9,Mathiang Mauot Muo,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,Rwanda,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group B,1st Round,FALSE
01-Jul-22,10,Padiet Wang,21,8,4,8,50,4,5,80,0,3,0,0,0,0,0,0,0,2,4,0,2,2,3,8,Rwanda,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group B,1st Round,FALSE
01-Jul-22,12,Deng Acuoth,31,4,2,4,50,2,4,50,0,0,0,0,0,0,3,12,15,4,0,0,2,4,17,19,Rwanda,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group B,1st Round,FALSE
01-Jul-22,13,Majok Deng,17,8,3,7,42.9,1,2,50,2,5,40,0,0,0,1,2,3,1,1,0,0,2,6,9,Rwanda,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group B,1st Round,FALSE
01-Jul-22,21,Koch Deng Aguer Bar,7,2,0,0,0,0,0,0,0,0,0,2,2,100,1,1,2,0,0,0,0,0,-8,4,Rwanda,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group B,1st Round,FALSE
01-Jul-22,44,Sunday Dech,36,7,3,10,30,2,7,28.6,1,3,33.3,0,0,0,0,10,10,8,0,0,3,2,10,15,Rwanda,TRUE,Fiba Basketballworldcup 2023 African Qualifiers,Group B,1st Round,FALSE
23-Oct-20,0,Teny Bak Puot,21,9,3,5,60,0,1,0,3,4,75,0,0,0,0,1,1,4,0,0,1,4,0,11,Cape Verde,FALSE,Fiba Afrobasket 2021 Pre Qualifiers,Group A,invitational Tournament,FALSE
